"","GB023","GB026","GB028","GB030","GB035","GB037","GB043","GB044","GB046","GB057","GB059","GB068","GB069","GB071","GB082","GB083","GB084","GB089","GB091","GB095","GB105","GB107","GB108","GB111","GB114","GB115","GB117","GB121","GB122","GB123","GB126","GB134","GB136","GB137","GB138","GB139","GB140","GB146","GB147","GB156","GB166","GB167","GB187","GB188","GB196","GB197","GB250","GB253","GB256","GB263","GB266","GB273","GB275","GB276","GB286","GB298","GB299","GB301","GB304","GB305","GB306","GB309","GB316","GB318","GB400","GB401","GB403","GB410","GB421","GB422","GB432","GB433","GB522","TE003","TE004","TE005","TE006","TE007","TE008","TE018","TE019","TE031","TE037","TE038","TE046","TE051","TE052","TE062","TE066","TE078","TS001","TS002","TS006","TS009","TS010","TS079","TS080"
"Hateruma",0,NA,0,0,0,0,0,0,NA,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,NA,NA,1,0,1,1,1,1,1,1,0,1,1,NA,1,0,0,0,1,NA,0,0,1,0,0,1,1,1,NA,NA,0,0,0,NA,1,1,NA,0,0,0,0,NA,NA,1,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,NA,0,0,1,1,0,1,NA,0,0
"Ikema",0,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,NA,1,1,NA,0,0,0,NA,1,NA,1,NA,NA,1,0,NA,1,1,NA,0,1,0,1,0,NA,1,0,0,NA,1,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,0,0,0,0,NA,NA,0,NA,NA,1,0,1,0,0,0,NA,1,1,NA,NA,0,1,0,NA,0,0,NA,0,0,0,1,0,NA,NA,0,0
"Japanese",0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
"Ogami",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,NA,1,1,0,1,0,1,0,NA,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,NA,0,0,0,0,NA,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,NA,0,0,1,1,0,1,0,0,0
"Okinoerabu",0,NA,0,0,1,0,0,0,1,1,NA,NA,NA,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,NA,1,1,1,NA,1,0,1,0,NA,1,0,0,0,NA,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,NA,1,1,1,0,0,0,0,NA,NA,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,NA,NA,0,0
"Shuri",0,0,0,0,1,0,0,0,NA,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,NA,NA,1,0,1,NA,1,1,NA,1,0,NA,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,0,0,0,0,NA,1,0,NA,NA,1,0,NA,0,0,0,1,0,1,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,0,NA,NA,0,0
"Tarama",0,0,0,0,NA,NA,0,1,NA,1,NA,1,1,1,1,1,0,0,0,0,NA,1,0,1,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,1,1,NA,1,0,0,0,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,1,0,1,0,0,0,1,1,1,0,0,0,1,0,NA,0,0,NA,0,0,1,0,0,NA,NA,0,0
"Yonaguni",0,NA,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,NA,NA,0,1,0,NA,1,1,0,0,0,0,0,1,NA,0,0,1,1,0,1,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,NA,NA,0,NA,NA,0,0
"Yuwan",0,NA,0,0,1,0,0,0,1,1,0,1,NA,1,1,1,0,0,0,0,0,1,0,NA,NA,NA,1,0,1,1,1,1,NA,1,0,1,0,1,1,0,0,NA,1,0,0,0,0,0,0,1,NA,1,NA,NA,0,0,0,NA,1,1,NA,0,0,0,0,NA,NA,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,NA,NA,0,0
"Korean",0,NA,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,NA,NA,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,0,1,0,1,0,0,1,0,0
"EvenD",0,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,NA,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,NA,1,0,0,0,0,0,NA,1,0,1,0,NA,1,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,0,NA,NA,0,1,1,NA,NA,1,0,NA,1,1,1,1,0,1,0,0,0,NA,0,0,1,0,1,0,1,0,0
"EvenB",0,1,1,0,0,0,0,1,NA,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,NA,NA,1,0,0,1,0,NA,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,1,1,0,1,0,1,1,0,1,1,1,NA,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,NA,0,0,1,0,1,NA,NA,0,0
"Evenki",0,NA,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,NA,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1
"Nanai",0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,NA,NA,NA,NA,0,0,NA,NA,0,1,0,0,1,0,1,0
"Negidal",0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,1,NA,NA,NA,1,0,1,0,1,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,NA,1,1,NA,1,0,0,0,NA,0,0,NA,NA,0,1,NA,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,NA,NA,0,0
"Ulch",0,0,0,0,0,0,0,1,NA,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,NA,0,NA,0,1,0,1,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,1,0,1,0,0,0,1,1,NA,NA,1,NA,0,0,0,0,NA,NA,0,NA,NA,0,1,NA,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,NA,NA,NA,NA
"Oroch",0,NA,1,0,0,0,0,0,1,NA,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,NA,1,1,0,0,0,1,0,0,0,NA,NA,NA,1,1,0,0,0,0,1,0,NA,1,1,0,0,0,0,0,NA,NA,0,NA,NA,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,NA,NA,1,0
"Orok",0,NA,0,0,0,0,0,0,NA,0,1,0,0,1,1,1,1,1,1,0,0,0,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,0,NA,0,0,NA,1,0,0,0,NA,NA,0,0,0,1,NA,1,0,1,0,0,0,1,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,0,0,1,1,NA,NA,NA,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,NA,NA,NA,NA
"Solon",0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,1,1,NA,1,NA,1,0,0,NA,0,0,NA,1,0,0,0,NA,NA,0,0,0,1,1,1,1,0,0,0,0,1,NA,NA,1,1,0,1,0,0,NA,NA,NA,0,0,0,1,1,NA,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,NA,NA,NA,NA
"Udehe",1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
"Baoan",0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,NA,0,1,1,0,NA,NA,0,1,1,0,0,1,0,NA,0,0,1,1,NA,NA,0,0,0,1,0,0,1,0,0,0,1,0,1,NA,0,1,NA,NA,0,0,NA,NA,0,1,NA,NA,1,NA,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,NA,1,0,1,1,NA,0,1,0,0
"Buriat",0,0,0,0,0,0,0,1,0,0,0,NA,0,1,1,1,0,1,1,0,NA,1,0,0,0,1,1,0,0,NA,0,NA,NA,1,0,1,NA,NA,1,0,0,0,1,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,0,1,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,1,NA,NA
"Kalmyk",0,NA,0,0,0,0,0,1,NA,0,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,1,1,NA,1,NA,NA,NA,NA,0,1,0,1,0,NA,1,0,0,0,1,NA,0,0,0,1,1,1,1,0,0,0,1,0,1,NA,NA,1,0,0,0,0,NA,NA,NA,1,NA,NA,0,1,NA,1,0,0,NA,0,1,NA,1,1,1,1,NA,1,1,1,1,0,1,0,1,NA,NA,NA,NA
"Khalkha",0,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,NA,0,1,1,1,0,0,NA,0,NA,1,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,1,NA,1,1,0,0,0,0,0,NA,0,1,0,0,1,1,1,NA,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,0,0
"Mangghuer",1,0,0,0,0,0,0,1,1,1,0,0,0,1,NA,1,NA,0,0,0,1,0,0,0,0,1,1,0,0,NA,0,1,1,0,0,1,0,1,0,0,0,0,NA,NA,0,0,0,1,0,0,1,0,NA,0,1,0,1,0,0,1,NA,0,1,1,0,NA,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,NA,1,0,1,1,0,NA,NA,0,0
"Chuvash",0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1
"Yakut",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,NA,1,0,0,0,0,1,NA,1,1,0,1,0,0,0,NA,0,1,0,0,0,1,NA,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1
"Khalaj",0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,NA,NA,1,0,1,1,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,NA,1,0,1,0,NA,0,0,NA,NA,0,0,1,0,0,0,NA,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,NA,NA,0,1
"Shor",0,NA,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,NA,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,1,NA,NA,NA,1,0,0,0,NA,NA,1,NA,NA,1,1,1,1,0,0,NA,0,1,1,1,1,1,1,0,1,1,NA,1,0,1,0,1,NA,NA,0,1
"Tuvan",0,NA,0,0,0,0,0,1,NA,0,0,NA,NA,1,1,1,1,1,1,0,NA,1,0,NA,1,1,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,1,NA,NA,0,0,0,0,NA,0,1,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,NA,1,0,1,0,1,NA,NA,0,1
"Khakas",0,NA,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,NA,1,1,1,1,NA,1,NA,NA,1,1,0,0,0,NA,1,0,0,0,1,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,NA,1,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,NA,1,1,0,1,0,1,1,0,1,1
"CrimTatar",0,NA,0,0,1,0,0,1,NA,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,NA,0,NA,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,1,1,0,1,0,0,0,NA,NA,1,1,NA,1,1,1,1,0,0,NA,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,NA,NA,0,1
"Tatar",0,NA,0,0,1,0,0,1,NA,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,NA,1,NA,1,NA,1,0,0,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,1,1,0,1,0,0,0,0,NA,NA,1,NA,0,0,0,1,NA,0,0,1,0,1,1,1,1,0,0,NA,NA,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,NA
"Bashkir",0,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,NA,0,1,NA,NA,1,1,1,0,NA,NA,1,1,NA,1,0,0,0,NA,1,0,0,0,1,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,1,NA,NA,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,NA,1,NA,1,0,1,NA,NA,NA,NA
"Turkish",0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
"Gagauz",0,NA,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,NA,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
"Azerbaijani",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,NA,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,NA,1,0,1,0,1,1,0,0,1
"Turkmen",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,NA,0,0,1,NA,1,1,1,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,1,1,NA,1,0,0,1,NA,0,1,NA,NA,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
